Time,Threshold
0,499999995
1,466482761
2,437532142
3,412274381
4,390045264
5,370330849
6,352727281
7,336912763
8,322627750
9,309660581
10,297836947
11,287011962
12,277064231
13,267891263
14,259405948
15,251533751
16,244210536
17,237380807
18,230996317
19,225014897
20,219399546
21,214117653
22,209140376
23,204442101
24,200000007
25,195793698
26,191804884
27,188017125
28,184415591
29,180986879
30,177718838
31,174600438
32,171621628
33,168773240
34,166046892
35,163434908
36,160930238
37,158526401
38,156217428
39,153997814
40,151862469
41,149806684
42,147826091
43,145916643
44,144074572
45,142296374
46,140578783
47,138918752
48,137313437
49,135760176
50,134256476
51,132800004
52,131388569
53,130020113
54,128692704
55,127404520
56,126153850
57,124939078
58,123758680
59,122611217
60,121495330
61,120409734
62,119353212
63,118324610
64,117322838
65,116346858
66,115395687
67,114468391
68,113564081
69,112681916
70,111821089
71,110980837
72,110160430
73,109359175
74,108576407
75,107811494
76,107063832
77,106332845
78,105617980
79,104918710
80,104234530
81,103564957
82,102909528
83,102267800
84,101639346
85,101023761
86,100420652
87,99829645
88,99250377
89,98682503
90,98125691
91,97579620
92,97043982
93,96518481
94,96002832
95,95496760
96,95000002
97,94512302
98,94033415
99,93563104
100,93101141
101,92647305
102,92201384
103,91763173
104,91332473
105,90909092
106,90492847
107,90083558
108,89681052
109,89285162
110,88895726
111,88512587
112,88135595
113,87764602
114,87399465
115,87040049
116,86686218
117,86337845
118,85994804
119,85656972
120,85324233
121,84996473
122,84673579
123,84355446
124,84041967
125,83733042
126,83428573
127,83128463
128,82832619
129,82540952
130,82253373
131,81969798
132,81690142
133,81414326
134,81142270
135,80873899
136,80609138
137,80347915
138,80090159
139,79835801
140,79584776
141,79337018
142,79092463
143,78851049
144,78612718
145,78377409
146,78145066
147,77915634
148,77689057
149,77465283
150,77244260
151,77025938
152,76810267
153,76597199
154,76386689
155,76178689
156,75973155
157,75770044
158,75569313
159,75370921
160,75174826
161,74980989
162,74789372
163,74599936
164,74412645
165,74227462
166,74044351
167,73863279
168,73684211
169,73507115
170,73331957
171,73158706
172,72987332
173,72817804
174,72650092
175,72484167
176,72320001
177,72157565
178,71996834
179,71837780
180,71680377
181,71524599
182,71370421
183,71217819
184,71066770
185,70917248
186,70769231
187,70622697
188,70477624
189,70333989
190,70191771
191,70050950
192,69911505
193,69773416
194,69636663
195,69501227
196,69367089
197,69234231
198,69102633
199,68972280
200,68843152
201,68715232
202,68588504
203,68462952
204,68338558
205,68215308
206,68093184
207,67972172
208,67852257
209,67733424
210,67615659
211,67498946
212,67383272
213,67268623
214,67154986
215,67042347
216,66930693
217,66820012
218,66710290
219,66601515
220,66493675
221,66386758
222,66280753
223,66175647
224,66071429
225,65968088
226,65865613
227,65763993
228,65663217
229,65563276
230,65464158
231,65365854
232,65268353
233,65171646
234,65075723
235,64980575
236,64886191
237,64792564
238,64699684
239,64607542
240,64516129
241,64425437
242,64335457
243,64246181
244,64157601
245,64069708
246,63982495
247,63895953
248,63810075
249,63724854
250,63640282
251,63556351
252,63473054
253,63390384
254,63308335
255,63226898
256,63146067
257,63065836
258,62986198
259,62907146
260,62828674
261,62750776
262,62673444
263,62596674
264,62520458
265,62444792
266,62369668
267,62295082
268,62221027
269,62147498
270,62074489
271,62001995
272,61930011
273,61858530
274,61787548
275,61717059
276,61647059
277,61577542
278,61508503
279,61439938
280,61371841
281,61304208
282,61237034
283,61170314
284,61104045
285,61038220
286,60972836
287,60907889
288,60843373
289,60779286
290,60715621
291,60652376
292,60589547
293,60527128
294,60465116
295,60403508
296,60342298
297,60281484
298,60221061
299,60161026
300,60101376
301,60042105
302,59983211
303,59924690
304,59866539
305,59808754
306,59751332
307,59694269
308,59637562
309,59581207
310,59525201
311,59469542
312,59414226
313,59359249
314,59304609
315,59250302
316,59196326
317,59142677
318,59089353
319,59036350
320,58983666
321,58931297
322,58879242
323,58827497
324,58776059
325,58724926
326,58674094
327,58623562
328,58573327
329,58523386
330,58473736
331,58424375
332,58375301
333,58326510
334,58278001
335,58229771
336,58181818
337,58134139
338,58086732
339,58039594
340,57992724
341,57946119
342,57899776
343,57853694
344,57807871
345,57762304
346,57716991
347,57671930
348,57627118
349,57582555
350,57538237
351,57494163
352,57450331
353,57406738
354,57363383
355,57320264
356,57277379
357,57234726
358,57192303
359,57150109
360,57108141
361,57066397
362,57024876
363,56983577
364,56942496
365,56901633
366,56860986
367,56820553
368,56780333
369,56740323
370,56700522
371,56660929
372,56621542
373,56582359
374,56543378
375,56504599
376,56466019
377,56427637
378,56389452
379,56351462
380,56313665
381,56276060
382,56238646
383,56201421
384,56164383
385,56127532
386,56090866
387,56054383
388,56018082
389,55981962
390,55946021
391,55910259
392,55874673
393,55839263
394,55804027
395,55768963
396,55734072
397,55699350
398,55664798
399,55630413
400,55596196
401,55562143
402,55528255
403,55494530
404,55460967
405,55427564
406,55394321
407,55361237
408,55328309
409,55295538
410,55262922
411,55230460
412,55198151
413,55165994
414,55133987
415,55102130
416,55070422
417,55038861
418,55007447
419,54976178
420,54945054
421,54914074
422,54883236
423,54852539
424,54821984
425,54791567
426,54761290
427,54731150
428,54701147
429,54671280
430,54641547
431,54611949
432,54582484
433,54553151
434,54523950
435,54494879
436,54465937
437,54437124
438,54408440
439,54379882
440,54351450
441,54323144
442,54294962
443,54266903
444,54238968
445,54211155
446,54183463
447,54155892
448,54128440
449,54101107
450,54073892
451,54046795
452,54019814
453,53992949
454,53966200
455,53939564
456,53913043
457,53886634
458,53860338
459,53834153
460,53808079
461,53782114
462,53756260
463,53730514
464,53704876
465,53679345
466,53653921
467,53628603
468,53603391
469,53578283
470,53553279
471,53528379
472,53503581
473,53478885
474,53454291
475,53429798
476,53405405
477,53381111
478,53356917
479,53332821
480,53308823
481,53284922
482,53261118
483,53237409
484,53213797
485,53190279
486,53166855
487,53143525
488,53120289
489,53097145
490,53074093
491,53051133
492,53028263
493,53005484
494,52982795
495,52960196
496,52937685
497,52915262
498,52892928
499,52870680
500,52848520
501,52826446
502,52804457
503,52782554
504,52760735
505,52739001
506,52717351
507,52695784
508,52674300
509,52652898
510,52631578
511,52610340
512,52589182
513,52568105
514,52547108
515,52526191
516,52505353
517,52484593
518,52463912
519,52443308
520,52422782
521,52402333
522,52381960
523,52361663
524,52341442
525,52321296
526,52301225
527,52281229
528,52261306
529,52241457
530,52221681
531,52201977
532,52182347
533,52162788
534,52143300
535,52123884
536,52104538
537,52085263
538,52066058
539,52046923
540,52027857
541,52008859
542,51989931
543,51971070
544,51952277
545,51933551
546,51914893
547,51896301
548,51877776
549,51859316
550,51840922
551,51822593
552,51804330
553,51786130
554,51767996
555,51749924
556,51731917
557,51713973
558,51696091
559,51678272
560,51660516
561,51642821
562,51625188
563,51607616
564,51590105
565,51572655
566,51555265
567,51537935
568,51520665
569,51503454
570,51486302
571,51469209
572,51452174
573,51435198
574,51418279
575,51401418
576,51384615
577,51367868
578,51351178
579,51334544
580,51317967
581,51301445
582,51284979
583,51268568
584,51252213
585,51235912
586,51219665
587,51203473
588,51187334
589,51171249
590,51155218
591,51139240
592,51123314
593,51107441
594,51091621
595,51075852
596,51060136
597,51044470
598,51028857
599,51013294
600,50997782
601,50982320
602,50966909
603,50951548
604,50936237
605,50920975
606,50905763
607,50890600
608,50875486
609,50860420
610,50845402
611,50830433
612,50815512
613,50800638
614,50785812
615,50771034
616,50756302
617,50741617
618,50726978
619,50712386
620,50697840
621,50683340
622,50668886
623,50654477
624,50640113
625,50625794
626,50611521
627,50597291
628,50583107
629,50568966
630,50554870
631,50540817
632,50526808
633,50512842
634,50498920
635,50485040
636,50471203
637,50457409
638,50443657
639,50429948
640,50416280
641,50402655
642,50389071
643,50375528
644,50362026
645,50348566
646,50335147
647,50321768
648,50308430
649,50295132
650,50281874
651,50268656
652,50255478
653,50242339
654,50229240
655,50216180
656,50203159
657,50190177
658,50177234
659,50164330
660,50151463
661,50138635
662,50125845
663,50113093
664,50100378
665,50087701
666,50075062
667,50062459
668,50049894
669,50037365
670,50024873
671,50012418
672,49999999
